EquipmentId,latitude,longitude,speed,odometer reading,eventDate,eventGeneratedTime
EQPT-4,12.940355,74.9301833,24,830721,1716229800000,1716277269000
EQPT-4,12.940225,74.9298716,17,830758,1716229800000,1716277274000
EQPT-4,12.9401783,74.9297799,16,830769,1716229800000,1716277276000
EQPT-4,12.9400266,74.92926,26,830828,1716229800000,1716277285000
EQPT-4,12.9398916,74.9287399,25,830887,1716229800000,1716277293000
EQPT-4,12.9398033,74.9286283,27,830902,1716229800000,1716277295000
EQPT-4,12.939115,74.928005,34,831005,1716229800000,1716277306000
EQPT-4,12.9383133,74.9274033,40,831115,1716229800000,1716277316000
EQPT-4,12.93784,74.9270083,32,831183,1716229800000,1716277323000
EQPT-4,12.9376999,74.9269699,28,831199,1716229800000,1716277326000
EQPT-4,12.937135,74.9268666,25,831263,1716229800000,1716277334000
EQPT-4,12.93703,74.9267983,26,831277,1716229800000,1716277336000
EQPT-4,12.9367166,74.9265033,12,831325,1716229800000,1716277345000
EQPT-4,12.936395,74.92617,23,831376,1716229800000,1716277356000
EQPT-4,12.9362066,74.925835,30,831418,1716229800000,1716277361000
EQPT-4,12.9357183,74.9250199,37,831521,1716229800000,1716277371000
EQPT-4,12.9353716,74.9244066,37,831598,1716229800000,1716277378000
EQPT-4,12.935275,74.9242366,40,831620,1716229800000,1716277380000
EQPT-4,12.9350399,74.923785,38,831675,1716229800000,1716277385000
EQPT-4,12.9347116,74.9228616,31,831782,1716229800000,1716277396000
EQPT-4,12.9345233,74.9221483,37,831862,1716229800000,1716277404000
EQPT-4,12.9344399,74.921215,44,831964,1716229800000,1716277413000
EQPT-4,12.9343499,74.9202033,44,832074,1716229800000,1716277422000
EQPT-4,12.9341483,74.9193333,42,832171,1716229800000,1716277430000
EQPT-4,12.9339133,74.9188383,42,832231,1716229800000,1716277435000
EQPT-4,12.9337116,74.9185783,41,832267,1716229800000,1716277438000
EQPT-4,12.9335316,74.9184666,40,832290,1716229800000,1716277440000
EQPT-4,12.9333483,74.9184083,39,832312,1716229800000,1716277442000
EQPT-4,12.9326366,74.9183666,36,832391,1716229800000,1716277450000
EQPT-4,12.931725,74.9182749,40,832493,1716229800000,1716277459000
EQPT-4,12.9307783,74.9181816,42,832599,1716229800000,1716277468000
EQPT-4,12.9298783,74.918065,39,832700,1716229800000,1716277477000
EQPT-4,12.9289399,74.9179416,31,832805,1716229800000,1716277487000
EQPT-4,12.9287766,74.9179049,16,832824,1716229800000,1716277490000
EQPT-4,12.9287049,74.9178933,6,832832,1716229800000,1716277493000
EQPT-4,12.9286233,74.9178283,7,832843,1716229800000,1716277513000
EQPT-4,12.9286149,74.9178116,7,832843,1716229800000,1716277514000
EQPT-4,12.9286083,74.9177633,8,832851,1716229800000,1716277516000
EQPT-4,12.9286083,74.9177433,7,832858,1716229800000,1716277517000
EQPT-4,12.9286149,74.9177266,7,832858,1716229800000,1716277518000
EQPT-4,12.9286533,74.9177016,7,832858,1716229800000,1716277521000
EQPT-4,12.9287016,74.9177116,9,832871,1716229800000,1716277523000
EQPT-4,12.9287216,74.9177216,8,832871,1716229800000,1716277524000
EQPT-4,12.92879,74.9177416,9,832876,1716229800000,1716277527000
EQPT-4,12.929195,74.9178049,7,832921,1716229800000,1716277559000
EQPT-4,12.9292149,74.9178083,7,832933,1716229800000,1716277560000
EQPT-4,12.9293516,74.9177199,6,832942,1716229800000,1716277567000
EQPT-4,12.9293616,74.9176966,6,832945,1716229800000,1716277568000
EQPT-4,12.9293649,74.9176733,6,832947,1716229800000,1716277569000
EQPT-4,12.92936,74.9176533,6,832955,1716229800000,1716277570000
EQPT-4,12.92935,74.91764,6,832955,1716229800000,1716277571000
EQPT-4,12.9293133,74.917555,6,832959,1716229800000,1716277576000
EQPT-4,12.929315,74.9175116,8,832966,1716229800000,1716277578000
EQPT-4,12.9293233,74.91749,9,832969,1716229800000,1716277579000
EQPT-4,12.929335,74.91744,8,832974,1716229800000,1716277581000
EQPT-4,12.9293466,74.9174233,8,832974,1716229800000,1716277582000
EQPT-4,12.9293633,74.917415,7,832978,1716229800000,1716277583000
EQPT-4,12.9293833,74.9174183,7,832978,1716229800000,1716277584000
EQPT-4,12.9294116,74.917425,7,832982,1716229800000,1716277586000
EQPT-4,12.9293099,74.9174166,1,832986,1716229800000,1716277827000
EQPT-4,12.9293099,74.9174066,0,832986,1716229800000,1716277883000
EQPT-4,12.9293116,74.9173149,4,832986,1716229800000,1716278802000
EQPT-4,12.9292633,74.9174183,6,832986,1716229800000,1716278804000
EQPT-4,12.9292633,74.9175099,6,832995,1716229800000,1716278810000
EQPT-4,12.9292416,74.917585,6,833006,1716229800000,1716278815000
EQPT-4,12.929105,74.9176516,0,833013,1716229800000,1716278831000
EQPT-4,12.929105,74.9176516,3,833013,1716229800000,1716279095000
EQPT-4,12.9290116,74.9177166,7,833034,1716229800000,1716279099000
EQPT-4,12.9289933,74.9177283,9,833038,1716229800000,1716279100000
EQPT-4,12.92897,74.91774,9,833041,1716229800000,1716279101000
EQPT-4,12.9289433,74.9177466,10,833044,1716229800000,1716279102000
EQPT-4,12.9288566,74.9177466,11,833053,1716229800000,1716279105000
